Sensor ID
2052
2058
2067
2068
2071
2072
2073
2053
2054
2055
2056
2057
2059
2060
2061
2062
2063
2064
2065
2066
2069
2070
2075
2081
2082
2083
2087
2076
2077
2078
2079
2080
2084
2085
2086
