ID,Device Name
10708,{asr-wr-jp-172-60-60-221} (172.60.60.221) [ASR1002-X Chassis] @Rack_05 [CDC-105]
4474,{isp-wr-jp-172-60-60-213} (172.60.60.213) [MK-CCR1036-12G-4S] @Rack_05 [CDC-105]
4480,{isp-wr-jp-172-60-60-214} (172.60.60.214) [MK-CCR1036-12G-4S] @Rack_06 [CDC-105]
10749,{isp-wr-gc-192-168-100-223} (192.168.100.223) [MK-CCRS317-1G-16S+] @
8527,{fwp-jp-192-168-40-254} (192.168.40.254) [Fortigate-60F] @Rack_03/04 [CDC 104]
9882,{mgmt-gc-192-168-100-252} (192.168.100.252) [ Cisco-WS-C3850-48T] @Rack_XX
10013,{SFT-CAAS-10-243} (192.168.10.243)(PRIMARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_SFT_AB18
4526,{fwp-jp-172-60-60-191} (172.60.60.191) [FortiGate-100F] @Rack_05 [CDC-105]
4540,{fws-jp-172-60-60-192} (172.60.60.192) [FortiGate-100F] @Rack_06 [CDC-105]
4553,{fwp-jp-172-60-60-193} (172.60.60.193) [FortiGate-100F] @Rack_05 [CDC-105]
4565,{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]
4705,{fwp-jp-172-60-60-21} (172.60.60.21) [FortiGate-80F] @Rack_02 [CDC-105]
4645,{fws-jp-172-60-60-24} (172.60.60.24) [FortiGate-100F] @Rack_03 [CDC-105]
4656,{fwp-jp-172-60-60-23} (172.60.60.23) [FortiGate-100F] @Rack_02 [CDC-105]
10354,{pdu-tp-192.168.101.239} (192.168.101.239) [HUAWEI S5720-56C-EI-DC] @Rack_K13 [TP-GF]
10362,{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF]
4242,{isp-wr-gc-192-168-100-222) [MK-CCR1036-8G-2S+] @Rack_D3
5536,{isp-wr-gc-192-168-100-221} (192.168.100.221) [MK-CCR1036-8G-2S+] @Rack_D2
10143,{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-]
9381,vproxy-103-90 (10.100.103.90) (vCenter04)
7921,Veeam_Proxy_103.85 (10.133.103.85) (vCenter11)
3060,{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF]
9158,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX
9233,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX
10702,{asr-wr-jp-172-60-60-221} (172.60.60.221) [ASR1002-X Chassis] @Rack_05 [CDC-105]
10709,{asr-wr-jp-172-60-60-221} (172.60.60.221) [ASR1002-X Chassis] @Rack_05 [CDC-105]
4475,{isp-wr-jp-172-60-60-213} (172.60.60.213) [MK-CCR1036-12G-4S] @Rack_05 [CDC-105]
4481,{isp-wr-jp-172-60-60-214} (172.60.60.214) [MK-CCR1036-12G-4S] @Rack_06 [CDC-105]
9883,{mgmt-gc-192-168-100-252} (192.168.100.252) [ Cisco-WS-C3850-48T] @Rack_XX
10020,{SFT-CAAS-10-244} (192.168.10.244)(SECONDARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_SFT_AB18
