"Device","Device(RAW)","Host","Host(RAW)","ID","ID(RAW)","Parent ID","Parent ID(RAW)"
"NTP_CDC-TP_Primary_192.168.101.203","NTP_CDC-TP_Primary_192.168.101.203","192.168.101.203","192.168.101.203","10093","10093","10092","10092"
"NTP_CDC-TP_Secondary_192.168.101.204","NTP_CDC-TP_Secondary_192.168.101.204","192.168.101.204","192.168.101.204","10094","10094","10092","10092"
"Probe Device","Probe Device","127.0.0.1","127.0.0.1","40","40","1","1"
"Probe Device","Probe Device","127.0.0.1","127.0.0.1","2077","2077","2076","2076"
"Probe Device","Probe Device","127.0.0.1","127.0.0.1","5364","5364","5363","5363"
"Probe Device","Probe Device","127.0.0.1","127.0.0.1","5500","5500","5499","5499"
"Probe Device","Probe Device","127.0.0.1","127.0.0.1","5506","5506","5505","5505"
"Probe Device","Probe Device","127.0.0.1","127.0.0.1","5730","5730","5729","5729"
"Probe Device","Probe Device","127.0.0.1","127.0.0.1","9393","9393","9392","9392"
"Probe Device_192.168.101.51","Probe Device_192.168.101.51","127.0.0.1","127.0.0.1","2069","2069","2068","2068"
"PRTG Core Server","PRTG Core Server","","","1027","1027","0","0"
"vbr_10.100.103.21","vbr_10.100.103.21","10.100.103.21","10.100.103.21","7056","7056","7055","7055"
"Veeam_Proxy_103.85 (10.133.103.85) (vCenter11)","Veeam_Proxy_103.85 (10.133.103.85) (vCenter11)","10.133.103.85","10.133.103.85","7917","7917","6584","6584"
"Veeam_Proxy_103.86 (10.111.103.86)(vCenter03)","Veeam_Proxy_103.86 (10.111.103.86)(vCenter03)","10.111.103.86","10.111.103.86","7881","7881","6584","6584"
"VPC_Nexus Siwtch_SEC(10.113.31.212)(VM Switch)@Rack_AT7","VPC_Nexus Siwtch_SEC(10.113.31.212)(VM Switch)@Rack_AT7","10.113.31.212","10.113.31.212","9412","9412","9496","9496"
"VPC_SW01_Nexus Switch PRI (10.113.31.211) (VM Switch)@Rack_AT7","VPC_SW01_Nexus Switch PRI (10.113.31.211) (VM Switch)@Rack_AT7","10.113.31.211","10.113.31.211","9411","9411","9496","9496"
