"Device","Device(RAW)","Host","Host(RAW)","ID","ID(RAW)","Parent ID","Parent ID(RAW)"
"{iil-sw-jp-172-60-60-237} (172.60.60.237) [CISCO-WS-C2960S-48TD-L] @Rack_05 [CDC-105]","{iil-sw-jp-172-60-60-237} (172.60.60.237) [CISCO-WS-C2960S-48TD-L] @Rack_05 [CDC-105]","172.60.60.237","172.60.60.237","5567","5567","5519","5519"
"{iil-sw-jp-172-60-60-238} (172.60.60.238) [CISCO-WS-C2960S-48TD-L] @Rack_06 [CDC-105]","{iil-sw-jp-172-60-60-238} (172.60.60.238) [CISCO-WS-C2960S-48TD-L] @Rack_06 [CDC-105]","172.60.60.238","172.60.60.238","5568","5568","5519","5519"
"{ill-sw-gc-192.168.100.231} (192.168.100.231) [Cisco-WS-C3750X-48T-L] @Rack_XX","{ill-sw-gc-192.168.100.231} (192.168.100.231) [Cisco-WS-C3750X-48T-L] @Rack_XX","192.168.100.231","192.168.100.231","5200","5200","5513","5513"
"{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF]","{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF]","192.168.101.231","192.168.101.231","5132","5132","5493","5493"
"{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF]","{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF]","192.168.101.232","192.168.101.232","5133","5133","5493","5493"
"{isp-gc-192-168-100-247} (192.168.100.247) [EdgeCoreS5520-18X] @Rack_D2","{isp-gc-192-168-100-247} (192.168.100.247) [EdgeCoreS5520-18X] @Rack_D2","192.168.100.247","192.168.100.247","3578","3578","5511","5511"
"{isp-gc-192-168-100-248} (192.168.100.248) [EdgeCoreS5520-18X] @Rack_D3","{isp-gc-192-168-100-248} (192.168.100.248) [EdgeCoreS5520-18X] @Rack_D3","192.168.100.248","192.168.100.248","3579","3579","5511","5511"
"{isp-jp-172-60-60-1} (172.60.60.1) [EdgeCoreS5520-18X] @Rack_05 [CDC-105]","{isp-jp-172-60-60-1} (172.60.60.1) [EdgeCoreS5520-18X] @Rack_05 [CDC-105]","172.60.60.1","172.60.60.1","3580","3580","5517","5517"
"{isp-jp-172-60-60-2} (172.60.60.2) [EdgeCoreS5520-18X] @Rack_06 [CDC-105]","{isp-jp-172-60-60-2} (172.60.60.2) [EdgeCoreS5520-18X] @Rack_06 [CDC-105]","172.60.60.2","172.60.60.2","3581","3581","5517","5517"
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @Rack_B4 [TP-1st Floor]","{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @Rack_B4 [TP-1st Floor]","192.168.101.247","192.168.101.247","3005","3005","5483","5483"
"{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor]","{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor]","192.168.101.248","192.168.101.248","2643","2643","5483","5483"
"{isp-wr-gc-192-168-100-221} (192.168.100.221) [MK-CCR1036-8G-2S+] @Rack_D2","{isp-wr-gc-192-168-100-221} (192.168.100.221) [MK-CCR1036-8G-2S+] @Rack_D2","192.168.100.221","192.168.100.221","3893","3893","5512","5512"
"{isp-wr-gc-192-168-100-222) [MK-CCR1036-8G-2S+] @Rack_D3","{isp-wr-gc-192-168-100-222) [MK-CCR1036-8G-2S+] @Rack_D3","192.168.100.222","192.168.100.222","3894","3894","5512","5512"
"{isp-wr-jp-172-60-60-211} (172.60.60.211) [MK-CCR2116-12G-4S+] @Rack_05 [CDC-105]","{isp-wr-jp-172-60-60-211} (172.60.60.211) [MK-CCR2116-12G-4S+] @Rack_05 [CDC-105]","172.60.60.211","172.60.60.211","3887","3887","5518","5518"
"{isp-wr-jp-172-60-60-212} (172.60.60.212) [MK-CCR2116-12G-4S+] @Rack_06 [CDC-105]","{isp-wr-jp-172-60-60-212} (172.60.60.212) [MK-CCR2116-12G-4S+] @Rack_06 [CDC-105]","172.60.60.212","172.60.60.212","3888","3888","5518","5518"
"{isp-wr-jp-172-60-60-213} (172.60.60.213) [MK-CCR1036-12G-4S] @Rack_05 [CDC-105]","{isp-wr-jp-172-60-60-213} (172.60.60.213) [MK-CCR1036-12G-4S] @Rack_05 [CDC-105]","172.60.60.213","172.60.60.213","3889","3889","5518","5518"
"{isp-wr-jp-172-60-60-214} (172.60.60.214) [MK-CCR1036-12G-4S] @Rack_06 [CDC-105]","{isp-wr-jp-172-60-60-214} (172.60.60.214) [MK-CCR1036-12G-4S] @Rack_06 [CDC-105]","172.60.60.214","172.60.60.214","3890","3890","5518","5518"
"{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor]","{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor]","192.168.101.221","192.168.101.221","3891","3891","5492","5492"
"{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor]","{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor]","192.168.101.222","192.168.101.222","3892","3892","5492","5492"
"{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-]","{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-]","192.168.101.223","192.168.101.223","10099","10099","5492","5492"
"{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-]","{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-]","192.168.101.224","192.168.101.224","10100","10100","5492","5492"
"{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR1009-7G-1C-1S+] @Rack_ [TP-]","{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR1009-7G-1C-1S+] @Rack_ [TP-]","192.168.101.225","192.168.101.225","10101","10101","5492","5492"
"{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR1009-7G-1C-1S+] @Rack_ [TP-]","{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR1009-7G-1C-1S+] @Rack_ [TP-]","192.168.101.226","192.168.101.226","10102","10102","5492","5492"
"{JP-WiFi-40-1} (192.168.99.1) [Make-Model] @Rack_XX","{JP-WiFi-40-1} (192.168.99.1) [Make-Model] @Rack_XX","192.168.99.1","192.168.99.1","7433","7433","5517","5517"
"{mgmt-gc-10-111-11-200} (10.111.11.200) [HUAWEI CE6881-48S6CQ ] @Rack_XX","{mgmt-gc-10-111-11-200} (10.111.11.200) [HUAWEI CE6881-48S6CQ ] @Rack_XX","10.111.11.200","10.111.11.200","5556","5556","5515","5515"
"{mgmt-gc-10-111-11-201} (10.111.11.201) [Cisco-WS-C3750X-48T-L ] @Rack_XX","{mgmt-gc-10-111-11-201} (10.111.11.201) [Cisco-WS-C3750X-48T-L ] @Rack_XX","10.111.11.201","10.111.11.201","5557","5557","5515","5515"
"{mgmt-gc-10-111-11-202} (10.111.11.202) [Cisco-C3KX-PWR-350WAC] @Rack_XX","{mgmt-gc-10-111-11-202} (10.111.11.202) [Cisco-C3KX-PWR-350WAC] @Rack_XX","10.111.11.202","10.111.11.202","5558","5558","5515","5515"
"{mgmt-gc-10-111-11-203) [Cisco-WS-C3750X-48T-S] @Rack_XX","{mgmt-gc-10-111-11-203) [Cisco-WS-C3750X-48T-S] @Rack_XX","10.111.11.203","10.111.11.203","5559","5559","5515","5515"
"{mgmt-gc-10-111-11-204} (10.111.11.204) [Cisco-WS-C3750X-48T-L] @Rack_XX","{mgmt-gc-10-111-11-204} (10.111.11.204) [Cisco-WS-C3750X-48T-L] @Rack_XX","10.111.11.204","10.111.11.204","5560","5560","5515","5515"
"{mgmt-gc-192-168-100-241} (192.168.100.241) [SG350X-48-K9] @Rack_XX","{mgmt-gc-192-168-100-241} (192.168.100.241) [SG350X-48-K9] @Rack_XX","192.168.100.241","192.168.100.241","5549","5549","5514","5514"
"{mgmt-gc-192-168-100-242} (192.168.100.242) [SG350X-48-K9] @Rack_XX","{mgmt-gc-192-168-100-242} (192.168.100.242) [SG350X-48-K9] @Rack_XX","192.168.100.242","192.168.100.242","5550","5550","5514","5514"
"{mgmt-gc-192-168-100-252} (192.168.100.252) [ Cisco-WS-C3850-48T] @Rack_XX","{mgmt-gc-192-168-100-252} (192.168.100.252) [ Cisco-WS-C3850-48T] @Rack_XX","192.168.100.252","192.168.100.252","5551","5551","5514","5514"
"{mgmt-jp-10-100-11-51} (10.100.11.51) [Cisco-WS-C3750X-48P] @Rack_02 [CDC-104]","{mgmt-jp-10-100-11-51} (10.100.11.51) [Cisco-WS-C3750X-48P] @Rack_02 [CDC-104]","10.100.11.51","10.100.11.51","5569","5569","5520","5520"
"{mgmt-jp-10-100-11-52} (10.100.11.52) [Cisco-WS-C3750X-48P-S] @Rack_03 [CDC-104]","{mgmt-jp-10-100-11-52} (10.100.11.52) [Cisco-WS-C3750X-48P-S] @Rack_03 [CDC-104]","10.100.11.52","10.100.11.52","5570","5570","5520","5520"
"{mgmt-jp-10-100-11-53} (10.100.11.53) [Cisco-WS-C3750X-48P-S] @Rack_02 [CDC-104]","{mgmt-jp-10-100-11-53} (10.100.11.53) [Cisco-WS-C3750X-48P-S] @Rack_02 [CDC-104]","10.100.11.53","10.100.11.53","5571","5571","5520","5520"
"{mgmt-jp-10-100-11-54} (10.100.11.54) [Cisco-WS-C3750X-48P-S] @Rack_03 [CDC-104]","{mgmt-jp-10-100-11-54} (10.100.11.54) [Cisco-WS-C3750X-48P-S] @Rack_03 [CDC-104]","10.100.11.54","10.100.11.54","5572","5572","5520","5520"
"{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX","{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX","10.100.11.55","10.100.11.55","9063","9063","5520","5520"
"{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX","{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX","10.100.11.56","10.100.11.56","9089","9089","5520","5520"
"{mgmt-jp-172.60.60.141} (172.60.60.141) CISCO{WS-C3560X-48}","{mgmt-jp-172.60.60.141} (172.60.60.141) CISCO{WS-C3560X-48}","172.60.60.141","172.60.60.141","10512","10512","5520","5520"
"{mgmt-jp-172.60.60.142} (172.60.60.142) CISCO{WS-C3560X-48}","{mgmt-jp-172.60.60.142} (172.60.60.142) CISCO{WS-C3560X-48}","172.60.60.142","172.60.60.142","10525","10525","5520","5520"
"{mgmt-jp-172.60.60.143} (172.60.60.143) CISCO{WS-C3560X-48}","{mgmt-jp-172.60.60.143} (172.60.60.143) CISCO{WS-C3560X-48}","172.60.60.143","172.60.60.143","10539","10539","5520","5520"
"{mgmt-jp-172.60.60.144} (172.60.60.144) CISCO{WS-C3560X-48}","{mgmt-jp-172.60.60.144} (172.60.60.144) CISCO{WS-C3560X-48}","172.60.60.144","172.60.60.144","10548","10548","5520","5520"
"{mgmt-jp-192.168.99.234} (192.168.99.234) HUAWEI{ S5720-56C-EI-DC}","{mgmt-jp-192.168.99.234} (192.168.99.234) HUAWEI{ S5720-56C-EI-DC}","192.168.99.234","192.168.99.234","10340","10340","5520","5520"
"{mgmt-jp-192.168.99.235} (192.168.99.235) HUAWEI{S5720-56C-EI-DC}","{mgmt-jp-192.168.99.235} (192.168.99.235) HUAWEI{S5720-56C-EI-DC}","192.168.99.235","192.168.99.235","10157","10157","5520","5520"
"{mgmt-jp-192-168-40-252} (192.168.40.252) [Cisco- WS-C2960S-48TD-L] @Rack_XX","{mgmt-jp-192-168-40-252} (192.168.40.252) [Cisco- WS-C2960S-48TD-L] @Rack_XX","192.168.40.252","192.168.40.252","5671","5671","5520","5520"
"{mgmt-jp-192-168-40-253} (192.168.40.253) [Cisco-WS-C3750E-48TD-S] @Rack_XX","{mgmt-jp-192-168-40-253} (192.168.40.253) [Cisco-WS-C3750E-48TD-S] @Rack_XX","192.168.40.253","192.168.40.253","5672","5672","5520","5520"
"{mgmt-jp-192-168-99-251} (192.168.99.251) [Cisco WS-C3850-48P-E] @Rack_XX","{mgmt-jp-192-168-99-251} (192.168.99.251) [Cisco WS-C3850-48P-E] @Rack_XX","192.168.99.251","192.168.99.251","8194","8194","5520","5520"
"{mgmt-jp-192-168-99-252} (192.168.99.252) [WS-C3850-48P-E] @Rack_XX","{mgmt-jp-192-168-99-252} (192.168.99.252) [WS-C3850-48P-E] @Rack_XX","192.168.99.252","192.168.99.252","8266","8266","5520","5520"
"{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF]","{mgmt-tp-10-112-11-201} (10.112.11.201) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF]","10.112.11.201","10.112.11.201","2554","2554","5494","5494"
"{mgmt-tp-10-112-11-202} (10.112.11.202) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF]","{mgmt-tp-10-112-11-202} (10.112.11.202) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF]","10.112.11.202","10.112.11.202","3895","3895","5494","5494"
"{mgmt-tp-10-112-11-203} (10.112.11.203) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF]","{mgmt-tp-10-112-11-203} (10.112.11.203) [CISCO-WS-C3750X-48P] @Rack_L16 [TP-GF]","10.112.11.203","10.112.11.203","2556","2556","5494","5494"
"{mgmt-tp-10-112-11-204} (10.112.11.204) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF]","{mgmt-tp-10-112-11-204} (10.112.11.204) [CISCO-WS-C3750X-48P] @Rack_L15 [TP-GF]","10.112.11.204","10.112.11.204","2557","2557","5494","5494"
"{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF]","{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF]","192.168.101.241","192.168.101.241","3390","3390","5494","5494"
"{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF]","{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF]","192.168.101.242","192.168.101.242","3391","3391","5494","5494"
"{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor]","{mgmt-tp-192-168-101-250} (192.168.101.250) 
[CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor]","192.168.101.250","192.168.101.250","2303","2303","5494","5494"
"{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF]","{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF]","192.168.101.251","192.168.101.251","2825","2825","5494","5494"
"{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF]","{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF]","192.168.101.252","192.168.101.252","2826","2826","5494","5494"
"{pdu-tp-192.168.101.239} (192.168.101.239) [HUAWEI S5720-56C-EI-DC] @Rack_K13 [TP-GF]","{pdu-tp-192.168.101.239} (192.168.101.239) [HUAWEI S5720-56C-EI-DC] @Rack_K13 [TP-GF]","192.168.101.239","192.168.101.239","10350","10350","5494","5494"
"{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF]","{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF]","192.168.101.240","192.168.101.240","10351","10351","5494","5494"
"{SFT-CAAS-10-243} (192.168.10.243)(PRIMARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_SFT_AB18","{SFT-CAAS-10-243} (192.168.10.243)(PRIMARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_SFT_AB18","192.168.10.243","192.168.10.243","9497","9497","9495","9495"
"{SFT-CAAS-10-244} (192.168.10.244)(SECONDARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_SFT_AB18","{SFT-CAAS-10-244} (192.168.10.244)(SECONDARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_SFT_AB18","192.168.10.244","192.168.10.244","9498","9498","9495","9495"
"{SFT-CAAS-10-246} (192.168.10.246)([C1000-24T-4X-L] @Rack_","{SFT-CAAS-10-246} (192.168.10.246)([C1000-24T-4X-L] @Rack_","192.168.10.246","192.168.10.246","10445","10445","9495","9495"
"{SFT-CAAS-10-247} (192.168.10.247)(LAN_SW) @Rack_AT7","{SFT-CAAS-10-247} (192.168.10.247)(LAN_SW) @Rack_AT7","192.168.10.247","192.168.10.247","10471","10471","9496","9496"
"{SFT-CAAS-10-248} (192.168.10.248)(LAN_SW)[CISCO-WS-C3750E-48TD-S] @Rack_AT7","{SFT-CAAS-10-248} (192.168.10.248)(LAN_SW)[CISCO-WS-C3750E-48TD-S] @Rack_AT7","192.168.10.248","192.168.10.248","9502","9502","9496","9496"
"{SFT-CAAS-10-249} (192.168.10.249)(PRIMARY_LAN_SW)[CISCO C1000-48T-4X-L] @Rack_SFT_AB18","{SFT-CAAS-10-249} (192.168.10.249)(PRIMARY_LAN_SW)[CISCO C1000-48T-4X-L] @Rack_SFT_AB18","192.168.10.249","192.168.10.249","9985","9985","9495","9495"
"{SFT-CAAS-10-250} (192.168.10.250)(SECONDARY_LAN_SW)[C1000-48T-4X-L] @Rack_SFT_AB18","{SFT-CAAS-10-250} (192.168.10.250)(SECONDARY_LAN_SW)[C1000-48T-4X-L] @Rack_SFT_AB18","192.168.10.250","192.168.10.250","9501","9501","9495","9495"
"{SFT-CAAS-10-251} (192.168.10.251)(SECONDARY_INTERNET_SW) [CISCO N3K-C3548P-XL] @Rack_SFT_AB18","{SFT-CAAS-10-251} (192.168.10.251)(SECONDARY_INTERNET_SW) [CISCO N3K-C3548P-XL] @Rack_SFT_AB18","192.168.10.251","192.168.10.251","10008","10008","9495","9495"
"{SFT-CAAS-10-252} (192.168.10.252)(PRIMARY_INTERTNET_SW [Nexus 3548 Chassis] @Rack_SFT_AB18","{SFT-CAAS-10-252} (192.168.10.252)(PRIMARY_INTERTNET_SW [Nexus 3548 Chassis] @Rack_SFT_AB18","192.168.10.252","192.168.10.252","9500","9500","9495","9495"
"{SFT-CAAS-10-253} (192.168.10.253)(IDRACK_LAN_SW)[C1000-48T-4X-L ] @Rack_SFT_AB18","{SFT-CAAS-10-253} (192.168.10.253)(IDRACK_LAN_SW)[C1000-48T-4X-L ] @Rack_SFT_AB18","192.168.10.253","192.168.10.253","9499","9499","9495","9495"
"{storage-cdc-gc-10-111-11-213} (10.111.11.213) [EdgeCore_AS7712-32X] @Rack_D02 [GC-3F]","{storage-cdc-gc-10-111-11-213} (10.111.11.213) [EdgeCore_AS7712-32X] @Rack_D02 [GC-3F]","10.111.11.213","10.111.11.213","9768","9768","5515","5515"
"{storage-cdc-gc-10-111-11-214} (10.111.11.214) [EdgeCore_AS7712-32X] @Rack_D03 [GC-3F]","{storage-cdc-gc-10-111-11-214} (10.111.11.214) [EdgeCore_AS7712-32X] @Rack_D03 [GC-3F]","10.111.11.214","10.111.11.214","9769","9769","5515","5515"
"{storage-cdc-tp-10-112-11-214} (10.112.11.214) [EdgeCore_AS7712-32X] @Rack_L15 [TP-GF]","{storage-cdc-tp-10-112-11-214} (10.112.11.214) [EdgeCore_AS7712-32X] @Rack_L15 [TP-GF]","10.112.11.214","10.112.11.214","4993","4993","5496","5496"
"{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16 [TP-GF]","{storage-tp-10-112-11-213} (10.112.11.213) [EdgeCore_AS7712-32X] @Rack_L16 [TP-GF]","10.112.11.213","10.112.11.213","4967","4967","5496","5496"
"{TP-CAAS-101-243} (192.168.101.243)(PRIMARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_XX","{TP-CAAS-101-243} (192.168.101.243)(PRIMARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_XX","192.168.101.243","192.168.101.243","9417","9417","9398","9398"
"{TP-CAAS-101-244} (192.168.101.244)(SECONDARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_XX","{TP-CAAS-101-244} (192.168.101.244)(SECONDARY_ROUTER)[Cisco C1111-8P Chassis] @Rack_XX","192.168.101.244","192.168.101.244","9418","9418","9398","9398"
"10.100.11.250","10.100.11.250","10.100.11.250","10.100.11.250","10649","10649","5520","5520"
"10.112.11.191","10.112.11.191","10.112.11.191","10.112.11.191","10617","10617","9923","9923"
"10.112.11.231","10.112.11.231","10.112.11.231","10.112.11.231","10608","10608","9923","9923"
"10.112.73.13 (vCenter12-Cluster02) -STT-TECHNO","10.112.73.13 (vCenter12-Cluster02) -STT-TECHNO","10.112.73.13","10.112.73.13","10407","10407","10408","10408"
"172.60.60.253","172.60.60.253","172.60.60.253","172.60.60.253","10636","10636","5520","5520"
"192.168.101.234","192.168.101.234","192.168.101.234","192.168.101.234","10334","10334","10239","10239"
"192.168.101.235","192.168.101.235","192.168.101.235","192.168.101.235","10240","10240","10239","10239"
"192.168.101.249","192.168.101.249","192.168.101.249","192.168.101.249","10625","10625","9923","9923"
"192.168.101.42","192.168.101.42","192.168.101.42","192.168.101.42","10501","10501","10500","10500"
"GC-IDRAC-52-111 (10.111.52.111)","GC-IDRAC-52-111 (10.111.52.111)","10.111.52.111","10.111.52.111","8716","8716","8715","8715"        
"GC-IDRAC-52-112 (10.111.52.112)","GC-IDRAC-52-112 (10.111.52.112)","10.111.52.112","10.111.52.112","8717","8717","8715","8715"        
"GC-IDRAC-52-113 (10.111.52.113)","GC-IDRAC-52-113 (10.111.52.113)","10.111.52.113","10.111.52.113","8826","8826","8715","8715"        
"GC-IDRAC-52-114 (10.111.52.114)","GC-IDRAC-52-114 (10.111.52.114)","10.111.52.114","10.111.52.114","8827","8827","8715","8715"        
"IDRAC-31-111 (10.100.31.111)","IDRAC-31-111 (10.100.31.111)","10.100.31.111","10.100.31.111","3079","3079","3078","3078"
"IDRAC-31-111 (10.113.31.111)","IDRAC-31-111 (10.113.31.111)","10.113.31.111","10.113.31.111","7782","7782","7769","7769"
