objid
8193
10705
9966
10017
9930
10968
11001
10590
2718
2729
2751
2761
4622
4628
9772
9778
7945
4634
4700
10011
3898
10862
10868
8525
7705
4637
4703
10591
2752
2762
4624
4630
9775
9779
4518
4533
4552
4564
4579
4598
4610
4616
4643
4654
7947
10707
10018
10012
9968
8526
7707
4611
4617
4704
4644
4655
4241
5535
10142
10131
10701
10708
4474
4480
10749
8527
9882
10013
4526
4540
4553
4565
4705
4645
4656
10354
10362
4242
5536
10143
9381
7921
3060
9158
9233
10702
10709
4475
4481
9883
10020
4530
4544
4554
4566
8528
4531
4545
4567
4589
4608
4612
4618
4646
4657
10079
10955
3061
10015
10021
9235
10865
10870
10777
8529
10917
7079
4532
4546
4555
4568
4590
4609
4613
4619
4647
4658
10990
11011
10755
10247
10257
10336
10775
4556
4569
4648
4659
7065
10369
10375
10918
10999
11000
10991
11012
4638
4706
4614
4620
10248
9969
8530
4557
4570
10919
10134
10144
10370
10376
11013
10992
4615
4621
8459
9970
4558
4571
10371
4639
4650
4661
10016
10022
9971
10866
10871
4547
4559
10252
4640
4651
8580
8582
10366
10372
2769
7706
10241
9967
8428
8461
10447
10969
11002
11003
4548
4560
10367
4641
4652
6531
10242
10253
10970
4642
4653
10368
6532
10243
10254
4635
4701
10706
6533
4549
4561
10244
10996
10869
4636
4702
6534
6521
9138
8029
5330
9202
9141
9210
9773
9795
7946
9142
9212
9143
7979
10977
9213
8464
8432
7684
7687
9774
9780
9796
10978
10657
9214
4623
4629
2719
2730
8465
8433
4578
4597
9144
7081
7067
9776
9781
9797
9215
8466
8434
4625
4631
2720
2731
4580
4599
10980
11004
9145
7708
9216
8467
8435
2721
2732
4626
4632
4581
4600
10981
11005
9146
9217
8468
8436
2722
2733
4627
4633
10982
11006
9147
7980
9218
8469
8437
10983
11007
9148
10984
11008
10735
10985
11009
10352
10986
11010
10353
4524
9149
9222
4583
4602
9150
4527
4541
9223
4585
4604
9151
9224
4586
4605
9931
9152
9225
4587
4606
8470
8438
2723
2734
9226
8471
8439
9153
7685
9782
9798
2724
2735
9227
2754
9154
7688
9783
9784
9228
9155
9785
9229
8440
9156
8441
9786
9800
9230
9157
9787
9801
8472
8442
8443
9802
8445
9788
9803
10927
8473
8446
8447
9789
9804
8474
8448
10956
9607
8449
8475
8450
9955
8579
8477
8583
8452
8478
8453
9236
9608
10908
10957
10378
10928
10929
9237
10379
10880
10878
10876
10874
9159
9238
10355
10363
8456
8584
8481
8581
10881
10879
10877
10875
9160
9239
8457
8482
10335
10341
9161
9240
8458
8483
10686
9162
9241
10691
10693
10687
10246
10256
10692
9163
9242
9956
9164
9243
9244
8484
9165
9245
9166
9246
9167
9247
9168
9248
9249
9169
9250
9170
9251
9171
9252
9172
9253
9173
9174
9257
9258
9175
9259
9176
9177
9260
9261
9178
9262
9179
9263
9180
9264
9181
9265
9182
8429
10853
10888
10637
10890
7366
7345
6522
5370
5374
10513
10855
10540
10526
7387
7289
6540
6547
2606
2601
