Sensor ID,ids,
4235,id266,id266=4235
4231,id267,id267=4231
4233,id268,id268=4233
5774,id269,id269=5774
6656,id270,id270=6656
4253,id271,id271=4253
4591,id272,id272=4591
4593,id273,id273=4593
4594,id274,id274=4594
4595,id275,id275=4595
4589,id276,id276=4589
6208,id277,id277=6208
4632,id278,id278=4632
4633,id279,id279=4633
6210,id280,id280=6210
4646,id281,id281=4646
4647,id282,id282=4647
4648,id283,id283=4648
4650,id284,id284=4650
6215,id285,id285=6215
6216,id286,id286=6216
4635,id287,id287=4635
6489,id288,id288=6489
6490,id289,id289=6490
6644,id290,id290=6644
6647,id291,id291=6647
6661,id292,id292=6661
4711,id293,id293=4711
4742,id294,id294=4742
4747,id295,id295=4747
6675,id296,id296=6675
5677,id297,id297=5677
6588,id298,id298=6588
6671,id299,id299=6671
5692,id300,id300=5692
5694,id301,id301=5694
5695,id302,id302=5695
6637,id303,id303=6637
5699,id304,id304=5699
5771,id305,id305=5771
5033,id306,id306=5033
5985,id307,id307=5985
5944,id308,id308=5944
5977,id309,id309=5977
5978,id310,id310=5978
6488,id311,id311=6488
6482,id312,id312=6482
4103,id313,id313=4103
4108,id314,id314=4108
4109,id315,id315=4109
4112,id316,id316=4112
4114,id317,id317=4114
4115,id318,id318=4115
5998,id319,id319=5998
4117,id320,id320=4117
6659,id321,id321=6659
5995,id322,id322=5995
4134,id323,id323=4134
4167,id324,id324=4167
5816,id325,id325=5816
6452,id326,id326=6452
4210,id327,id327=4210
4211,id328,id328=4211
6453,id329,id329=6453
6278,id330,id330=6278
4221,id331,id331=4221
5987,id332,id332=5987
4272,id333,id333=4272
4273,id334,id334=4273
4458,id335,id335=4458
4459,id336,id336=4459
4287,id337,id337=4287
6738,id338,id338=6738
4289,id339,id339=4289
4291,id340,id340=4291
4293,id341,id341=4293
4295,id342,id342=4295
4298,id343,id343=4298
5815,id344,id344=5815
6970,id345,id345=6970
6679,id346,id346=6679
6680,id347,id347=6680
6736,id348,id348=6736
6737,id349,id349=6737
6811,id350,id350=6811
6812,id351,id351=6812
6813,id352,id352=6813
4326,id353,id353=4326
4327,id354,id354=4327
4328,id355,id355=4328
4329,id356,id356=4329
4330,id357,id357=4330
4285,id358,id358=4285
4286,id359,id359=4286
6719,id360,id360=6719
6720,id361,id361=6720
6721,id362,id362=6721
7101,id363,id363=7101
4352,id364,id364=4352
6674,id365,id365=6674
4354,id366,id366=4354
4356,id367,id367=4356
4358,id368,id368=4358
4360,id369,id369=4360
4363,id370,id370=4363
5814,id371,id371=5814
6971,id372,id372=6971
6681,id373,id373=6681
6682,id374,id374=6682
6717,id375,id375=6717
6718,id376,id376=6718
6814,id377,id377=6814
6815,id378,id378=6815
6816,id379,id379=6816
4351,id380,id380=4351
4350,id381,id381=4350
6713,id382,id382=6713
6726,id383,id383=6726
6727,id384,id384=6727
6728,id385,id385=6728
6743,id386,id386=6743
6972,id387,id387=6972
6973,id388,id388=6973
7037,id389,id389=7037
7102,id390,id390=7102
4890,id391,id391=4890
6430,id392,id392=6430
6431,id393,id393=6431
6223,id394,id394=6223
6224,id395,id395=6224
4944,id396,id396=4944
6797,id397,id397=6797
4513,id398,id398=4513
6386,id399,id399=6386
4503,id400,id400=4503
6432,id401,id401=6432
6433,id402,id402=6433
4534,id403,id403=4534
4535,id404,id404=4535
4538,id405,id405=4538
4540,id406,id406=4540
4543,id407,id407=4543
5477,id408,id408=5477
5478,id409,id409=5478
5475,id410,id410=5475
5476,id411,id411=5476
5473,id412,id412=5473
5546,id413,id413=5546
6403,id414,id414=6403
